Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Arunachal Pradesh,India,2020-11-21 05:25:51,16001,49,14870,27.768456,96.384277
Cesar,Colombia,2020-11-21 05:25:51,28476,874,25977,9.3373,-73.6536
Hiroshima,Japan,2020-11-21 05:25:51,730,6,670,34.605309000000005,132.788719
Murmansk Oblast,Russia,2020-11-21 05:25:51,24639,415,20716,68.00004179999999,33.9999151
Jammu and Kashmir,India,2020-11-21 05:25:51,105376,1622,98076,33.75943,76.612638
Hainaut,Belgium,2020-11-21 05:25:51,89091,0,0,50.5257,4.0621
Vologda Oblast,Russia,2020-11-21 05:25:51,9665,74,8548,60.0391461,43.1215213
Scotland,United Kingdom,2020-11-21 05:25:51,86630,3459,0,56.4907,-4.2026
Dnipropetrovsk Oblast,Ukraine,2020-11-21 05:25:51,26202,687,10530,48.4647,35.0462
,South Africa,2020-11-21 05:25:51,762763,20759,707040,-30.5595,22.9375
Cordoba,Colombia,2020-11-21 05:25:51,27774,1644,25128,8.0493,-75.574
Anguilla,United Kingdom,2020-11-21 05:25:51,3,0,3,18.2206,-63.0686
Meta,Colombia,2020-11-21 05:25:51,26494,603,25047,3.272,-73.0877
Amapa,Brazil,2020-11-21 05:25:51,56085,787,46049,0.902,-52.003
Jonkoping,Sweden,2020-11-21 05:25:51,10317,199,0,57.3708,14.3439
Turks and Caicos Islands,United Kingdom,2020-11-21 05:25:51,726,6,698,21.69400000000001,-71.7979
Halland,Sweden,2020-11-21 05:25:51,5527,99,0,56.8967,12.8034
Oita,Japan,2020-11-21 05:25:51,208,3,158,33.200697,131.43323999999998
Kirovohrad Oblast,Ukraine,2020-11-21 05:25:51,4052,132,2003,48.5079,32.2623
Saint Barthelemy,France,2020-11-21 05:25:51,127,0,94,17.9,-62.8333
Ingushetia Republic,Russia,2020-11-21 05:25:51,8696,104,7324,43.11542075,45.01713552
Baja California,Mexico,2020-11-21 05:25:51,24840,4147,0,30.8406,-115.2838
Nuevo Leon,Mexico,2020-11-21 05:25:51,61545,4359,0,25.5922,-99.9962
Kostroma Oblast,Russia,2020-11-21 05:25:51,10019,173,6472,58.424756,44.253327299999995
Antwerp,Belgium,2020-11-21 05:25:51,64605,0,0,51.2195,4.4024
,Barbados,2020-11-21 05:25:51,253,7,241,13.1939,-59.5432
,Honduras,2020-11-21 05:25:51,103551,2853,45825,15.2,-86.2419
Maine,US,2020-08-07 22:34:20,0,0,0,200.0,200.0
Krasnoyarsk Krai,Russia,2020-11-21 05:25:51,32886,903,25333,63.3233807,97.09799740000001
Tacna,Peru,2020-11-21 05:25:51,13727,251,0,-17.644160999999997,-70.27756
,Guinea-Bissau,2020-11-21 05:25:51,2421,43,2286,11.8037,-15.1804
Mato Grosso do Sul,Brazil,2020-11-21 05:25:51,90765,1713,82598,-20.7722,-54.7852
Cantabria,Spain,2020-11-21 05:25:51,14145,293,2287,43.1828,-3.9878
Tyumen Oblast,Russia,2020-11-21 05:25:51,16580,117,11258,58.8206488,70.36588370000001
Vladimir Oblast,Russia,2020-11-21 05:25:51,11925,284,9299,56.0503336,40.656163299999996
Nevada,US,2020-11-21 05:25:51,129714,1982,0,39.15509045,-119.7480219
Xinjiang,China,2020-11-21 05:25:51,980,3,977,41.1129,85.2401
,Senegal,2020-11-21 05:25:51,15848,330,15452,14.4974,-14.4524
French Guiana,France,2020-11-21 05:25:51,10987,70,9995,4.0,-53.0
Hamburg,Germany,2020-11-21 05:25:51,22098,334,12900,53.5511,9.9937
Saskatchewan,Canada,2020-11-21 05:25:51,5804,33,3626,52.9399,-106.4509
,Yemen,2020-11-21 05:25:51,2090,608,1434,15.552726999999999,48.516388
Bihar,India,2020-11-21 05:25:51,228886,1212,222420,25.679658,85.60484
Cundinamarca,Colombia,2020-11-21 05:25:51,48763,1357,45164,5.026,-74.03
Sevastopol*,Ukraine,2020-11-21 05:25:51,3751,99,3129,44.6054,33.522
Nagaland,India,2020-11-21 05:25:51,10608,56,9208,26.06702,94.470302
Galicia,Spain,2020-11-21 05:25:51,46120,1131,9204,42.5751,-8.1339
Castilla - La Mancha,Spain,2020-11-21 05:25:51,80928,3659,6392,39.2796,-3.0977
North Dakota,US,2020-11-21 05:25:51,70016,824,0,46.09686891,-102.5285397
Perm Krai,Russia,2020-11-21 05:25:51,17717,508,12051,58.5951603,56.3159546
Sakhalin Oblast,Russia,2020-11-21 05:25:51,10045,5,7122,49.7219665,143.448533
Montserrat,United Kingdom,2020-11-21 05:25:51,13,1,12,16.742498,-62.187366000000004
Tokushima,Japan,2020-11-21 05:25:51,176,9,160,33.919178,134.242091
,MS Zaandam,2020-11-21 05:25:51,9,2,0,200.0,200.0
Ostergotland,Sweden,2020-11-21 05:25:51,8428,276,0,58.3454,15.5198
Ohio,US,2020-11-21 05:25:51,335423,5955,0,38.84541072,-83.4718964
,Burkina Faso,2020-11-21 05:25:51,2686,68,2476,12.2383,-1.5616
New Hampshire,US,2020-11-21 05:25:51,16822,507,0,43.51637314,-71.41684235
,Lebanon,2020-11-21 05:25:51,113655,884,64685,33.8547,35.8623
Tamil Nadu,India,2020-11-21 05:25:51,766677,11568,741705,11.006091,78.400624
Drenthe,Netherlands,2020-11-21 05:25:51,6935,102,0,52.862485,6.6184350000000025
Yamagata,Japan,2020-11-21 05:25:51,107,1,85,38.448396,140.102154
,Mauritius,2020-11-21 05:25:51,494,10,433,-20.348404000000002,57.552152
Magallanes,Chile,2020-11-21 05:25:51,13634,176,13044,-52.368,-70.9863
Belgorod Oblast,Russia,2020-11-21 05:25:51,14539,72,12725,50.7080119,37.5837615
Sao Paulo,Brazil,2020-11-21 05:25:51,1200348,41179,1076616,-23.5505,-46.6333
,Cuba,2020-11-21 05:25:51,7763,131,7267,21.521757,-77.78116700000002
Huancavelica,Peru,2020-11-21 05:25:51,7536,132,0,-13.023888000000001,-75.00277
Meghalaya,India,2020-11-21 05:25:51,11152,106,10158,25.536934,91.278882
Murcia,Spain,2020-11-21 05:25:51,51666,543,2180,37.9922,-1.1307
San Martin,Peru,2020-11-21 05:25:51,23120,754,0,-7.039531,-76.729127
Texas,US,2020-11-21 05:25:51,1117495,20751,0,31.81534745,-95.65354823
Tarapaca,Chile,2020-11-21 05:25:51,13570,248,13061,-19.9232,-69.5132
Dadra and Nagar Haveli and Daman and Diu,India,2020-11-21 05:25:51,3316,2,3275,20.194742,73.080901
Saratov Oblast,Russia,2020-11-21 05:25:51,24707,202,18722,51.652055499999996,46.86319520000001
Sikkim,India,2020-11-21 05:25:51,4632,96,4271,27.571671000000002,88.472712
Nara,Japan,2020-11-21 05:25:51,947,11,741,34.317451,135.871644
,Panama,2020-11-21 05:25:51,152289,2932,132748,8.538,-80.7821
Oregon,US,2020-11-21 05:25:51,62175,812,0,44.70915557,-117.6749883
,Finland,2020-11-21 05:25:51,20747,375,15300,61.92411,25.748151
,Holy See,2020-11-21 05:25:51,27,0,15,41.9029,12.4534
Unknown,Japan,2020-11-21 05:25:51,8,0,8,200.0,200.0
Umbria,Italy,2020-11-21 05:25:51,20961,314,9279,43.10675841,12.38824698
Campeche,Mexico,2020-11-21 05:25:51,6673,894,0,19.8301,-90.5349
Michigan,US,2020-11-21 05:25:51,321181,8774,0,44.6846864,-83.59507875
Kentucky,US,2020-11-21 05:25:51,152206,1762,0,37.10459774,-85.28129668
Beijing,China,2020-11-21 05:25:51,948,9,936,40.1824,116.4142
Tyva Republic,Russia,2020-11-21 05:25:51,11399,132,10692,51.401714899999995,93.8582593
Catalonia,Spain,2020-11-21 05:25:51,292348,7495,26203,41.5912,1.5209
Ciudad de Mexico,Mexico,2020-11-21 05:25:51,184636,12910,0,19.4326,-99.1332
Tlaxcala,Mexico,2020-11-21 05:25:51,8872,1272,0,19.3139,-98.2404
Aguascalientes,Mexico,2020-11-21 05:25:51,11271,973,0,21.8853,-102.2916
Sicilia,Italy,2020-11-21 05:25:51,50033,1098,14179,38.11569725,13.362356699999998
Hebei,China,2020-11-21 05:25:51,373,6,363,37.8957,114.9042
Kherson Oblast,Ukraine,2020-11-21 05:25:51,8155,170,3405,46.6354,32.6169
Toyama,Japan,2020-11-21 05:25:51,441,26,399,36.637464,137.26934599999998
Norte de Santander,Colombia,2020-11-21 05:25:51,25781,1253,23415,7.9463,-72.8988
Overijssel,Netherlands,2020-11-21 05:25:51,27875,506,0,52.444557999999994,6.441722
Navarra,Spain,2020-11-21 05:25:51,38482,822,3905,42.6954,-1.6761
Sachsen,Germany,2020-11-21 05:25:51,41336,626,25560,51.1045,13.2017
Fukushima,Japan,2020-11-21 05:25:51,474,6,404,37.378867,140.223295
Islamabad,Pakistan,2020-11-21 05:25:51,26177,270,21486,33.665087,73.121219
,Burundi,2020-11-21 05:25:51,649,1,575,-3.3731,29.9189
,Suriname,2020-11-21 05:25:51,5289,116,5164,3.9193,-56.0278
Novosibirsk Oblast,Russia,2020-11-21 05:25:51,20898,682,17013,54.9720169,79.48139240000002
Chhattisgarh,India,2020-11-21 05:25:51,219404,2691,196896,21.264705,82.035366
Yaroslavl Oblast,Russia,2020-11-21 05:25:51,14590,73,13920,57.77819760000001,39.002109499999996
,Mozambique,2020-11-21 05:25:51,14877,121,13053,-18.665695,35.529562
Andalusia,Spain,2020-11-21 05:25:51,212439,3527,10671,37.5443,-4.7278
Luxembourg,Belgium,2020-11-21 05:25:51,15484,0,0,50.0547,5.4677
Pasco,Peru,2020-11-21 05:25:51,6098,119,0,-10.39655,-75.307635
Australian Capital Territory,Australia,2020-11-21 05:25:51,115,3,111,-35.4735,149.0124
Ryazan Oblast,Russia,2020-11-21 05:25:51,12886,78,9800,54.42267320000001,40.57052460000001
Guadeloupe,France,2020-11-21 05:25:51,8225,144,2242,16.265,-61.551
,Zambia,2020-11-21 05:25:51,17373,356,16606,-13.133897,27.849332
Queensland,Australia,2020-11-21 05:25:51,1192,6,1171,-27.4698,153.0251
Putumayo,Colombia,2020-11-21 05:25:51,4762,217,4337,0.436,-75.5277
British Virgin Islands,United Kingdom,2020-11-21 05:25:51,71,1,70,18.4207,-64.64
,Bosnia and Herzegovina,2020-11-21 05:25:51,77994,2209,42916,43.9159,17.6791
Ehime,Japan,2020-11-21 05:25:51,166,6,111,33.624835,132.856842
Quebec,Canada,2020-11-21 05:25:51,129699,6774,111326,52.9399,-73.5491
